,budget,gross,profit,votes,IMDb score,clusters,cluster
124,20500000.0,15965924.0,-4534076.0,7300.0,5.8,0,salmon colored
125,3000000.0,20205757.0,17205757.0,11000.0,6.6,0,salmon colored
126,11000000.0,31672907.0,20672907.0,47000.0,6.9,0,salmon colored
127,1000000.0,17985893.0,16985893.0,32000.0,6.6,0,salmon colored
128,18000000.0,14110013.0,-3889987.0,16000.0,6.7,0,salmon colored
129,3000000.0,1752634.0,-1247366.0,5300.0,6.9,0,salmon colored
130,12500000.0,20962615.0,8462615.0,21000.0,7.3,0,salmon colored
131,5000000.0,20471382.0,15471382.0,19000.0,5.6,0,salmon colored
132,5000000.0,19032261.0,14032261.0,15000.0,6.7,0,salmon colored
133,2800000.0,26279000.0,23479000.0,3400.0,5.2,0,salmon colored
134,12000000.0,12376625.0,376625.0,22000.0,6.6,0,salmon colored
135,20500000.0,14920781.0,-5579219.0,9000.0,7.3,0,salmon colored
136,2500000.0,8279042.0,5779042.0,5200.0,5.6,0,salmon colored
137,8500000.0,6400000.0,-2100000.0,4500.0,6.0,0,salmon colored
138,20500000.0,5732587.0,-14767413.0,38000.0,7.4,0,salmon colored
139,16000000.0,17374595.0,1374595.0,28000.0,6.6,0,salmon colored
140,20500000.0,20205757.0,-294243.0,17000.0,7.2,0,salmon colored
141,12000000.0,14867086.0,2867086.0,5700.0,6.4,0,salmon colored
142,400000.0,123843.0,-276157.0,21000.0,6.8,0,salmon colored
143,20500000.0,23371905.0,2871905.0,7900.0,6.3,0,salmon colored
144,20500000.0,5672031.0,-14827969.0,19000.0,6.3,0,salmon colored
145,20500000.0,7886857.0,-12613143.0,13000.0,5.9,0,salmon colored
146,26000000.0,636796.0,-25363204.0,5700.0,6.5,0,salmon colored
147,20500000.0,26890068.0,6390068.0,13000.0,7.0,0,salmon colored
148,20500000.0,31206251.0,10706251.0,14000.0,7.2,0,salmon colored
149,10000000.0,12850276.0,2850276.0,7500.0,6.3,0,salmon colored
150,8000000.0,20205757.0,12205757.0,4900.0,6.1,0,salmon colored
151,5000000.0,19905359.0,14905359.0,18000.0,6.4,0,salmon colored
152,20500000.0,37000000.0,16500000.0,7100.0,6.2,0,salmon colored
153,20500000.0,35610100.0,15110100.0,5600.0,6.3,0,salmon colored
154,8500000.0,29916207.0,21416207.0,7600.0,5.6,0,salmon colored
155,20500000.0,237000.0,-20263000.0,1300.0,5.9,0,salmon colored
156,20500000.0,17583634.0,-2916366.0,9900.0,7.1,0,salmon colored
157,17000000.0,10626725.0,-6373275.0,9400.0,6.3,0,salmon colored
158,20500000.0,5165432.0,-15334568.0,4400.0,5.5,0,salmon colored
159,8600000.0,8124257.0,-475743.0,7600.0,7.5,0,salmon colored
160,20500000.0,2447576.0,-18052424.0,5700.0,5.5,0,salmon colored
161,20500000.0,15578237.0,-4921763.0,4800.0,6.2,0,salmon colored
162,20500000.0,110014.0,-20389986.0,12000.0,7.2,0,salmon colored
163,20500000.0,5229643.0,-15270357.0,2600.0,5.8,0,salmon colored
164,20500000.0,29200000.0,8700000.0,5800.0,6.7,0,salmon colored
165,800000.0,1118634.0,318634.0,2400.0,6.0,0,salmon colored
166,20500000.0,20205757.0,-294243.0,4100.0,6.2,0,salmon colored
167,20000000.0,18826490.0,-1173510.0,2600.0,5.4,0,salmon colored
168,6000000.0,9566593.0,3566593.0,2600.0,5.6,0,salmon colored
169,20500000.0,20259961.0,-240039.0,4500.0,5.5,0,salmon colored
170,20500000.0,14923752.0,-5576248.0,891.0,6.0,0,salmon colored
171,20500000.0,12042.0,-20487958.0,1300.0,6.3,0,salmon colored
172,250000.0,20205757.0,19955757.0,3600.0,4.9,0,salmon colored
173,8000000.0,26154211.0,18154211.0,4900.0,5.1,0,salmon colored
174,22000000.0,9171289.0,-12828711.0,5300.0,6.5,0,salmon colored
175,1500000.0,20205757.0,18705757.0,4400.0,7.2,0,salmon colored
176,18000000.0,12617845.0,-5382155.0,2000.0,5.1,0,salmon colored
177,14000000.0,2022771.0,-11977229.0,1300.0,5.2,0,salmon colored
178,20500000.0,1169875.0,-19330125.0,2400.0,5.6,0,salmon colored
179,3800000.0,20205757.0,16405757.0,3600.0,5.5,0,salmon colored
180,2700000.0,3256082.0,556082.0,1100.0,6.8,0,salmon colored
181,20500000.0,14492125.0,-6007875.0,1600.0,5.9,0,salmon colored
182,10000000.0,7258543.0,-2741457.0,4500.0,6.5,0,salmon colored
183,11000000.0,31261269.0,20261269.0,2900.0,6.1,0,salmon colored
184,20500000.0,2863642.0,-17636358.0,3600.0,7.0,0,salmon colored
185,12000000.0,2154696.0,-9845304.0,1300.0,4.3,0,salmon colored
186,20500000.0,11809387.0,-8690613.0,829.0,5.6,0,salmon colored
187,3500000.0,17569027.0,14069027.0,761.0,5.0,0,salmon colored
188,20500000.0,1976198.0,-18523802.0,1400.0,6.8,0,salmon colored
189,13000000.0,8206145.0,-4793855.0,2700.0,7.3,0,salmon colored
190,46000000.0,5200986.0,-40799014.0,659.0,2.7,0,salmon colored
191,14000000.0,4454295.0,-9545705.0,1700.0,5.5,0,salmon colored
192,12000000.0,3702028.0,-8297972.0,1100.0,5.6,0,salmon colored
193,16000000.0,10851261.0,-5148739.0,1100.0,5.4,0,salmon colored
194,20500000.0,25524778.0,5024778.0,1300.0,6.5,0,salmon colored
195,24000000.0,2004742.0,-21995258.0,928.0,5.2,0,salmon colored
196,20500000.0,18838812.0,-1661188.0,920.0,4.9,0,salmon colored
197,2000000.0,1791147.0,-208853.0,384.0,5.5,0,salmon colored
198,20500000.0,20205757.0,-294243.0,674.0,2.9,0,salmon colored
199,20500000.0,16000000.0,-4500000.0,1200.0,5.0,0,salmon colored
200,20500000.0,6892098.0,-13607902.0,782.0,5.8,0,salmon colored
201,20500000.0,20205757.0,-294243.0,101.0,5.1,0,salmon colored
202,20500000.0,12000000.0,-8500000.0,499.0,5.1,0,salmon colored
203,20500000.0,17110.0,-20482890.0,1100.0,6.9,0,salmon colored
204,20500000.0,1622898.0,-18877102.0,228.0,6.3,0,salmon colored
205,4500000.0,27092880.0,22592880.0,98000.0,7.2,0,salmon colored
206,28000000.0,41676878.0,13676878.0,710000.0,8.1,0,salmon colored
207,15000000.0,19632053.0,4632053.0,382000.0,8.1,0,salmon colored
208,20000000.0,68851475.0,48851475.0,141000.0,6.9,0,salmon colored
209,10500000.0,792910554.0,782410554.0,381000.0,7.8,1,purple
210,15000000.0,125212904.0,110212904.0,234000.0,7.7,0,salmon colored
211,7500000.0,129795554.0,122295554.0,52000.0,7.0,0,salmon colored
212,13200000.0,15171476.0,1971476.0,34000.0,4.4,0,salmon colored
213,50000000.0,57063861.0,7063861.0,41000.0,6.6,0,salmon colored
214,10700000.0,77142388.0,66442388.0,148000.0,7.3,0,salmon colored
215,12000000.0,78868508.0,66868508.0,73000.0,6.9,0,salmon colored
216,11200000.0,78912963.0,67712963.0,115000.0,7.7,0,salmon colored
217,20500000.0,5588800.0,-14911200.0,2500.0,4.9,0,salmon colored
218,20500000.0,5829781.0,-14670219.0,8100.0,6.3,0,salmon colored
219,12000000.0,30036000.0,18036000.0,44000.0,7.6,0,salmon colored
220,22000000.0,52767889.0,30767889.0,220000.0,8.0,0,salmon colored
221,21000000.0,177200000.0,156200000.0,100000.0,7.4,2,dark purple
222,17000000.0,33000525.0,16000525.0,115000.0,6.8,0,salmon colored
223,7000000.0,14665733.0,7665733.0,37000.0,7.6,0,salmon colored
224,20000000.0,2536242.0,-17463758.0,94000.0,7.8,0,salmon colored
225,17000000.0,125052686.0,108052686.0,179000.0,6.8,0,salmon colored
226,8000000.0,14056528.0,6056528.0,22000.0,6.2,0,salmon colored
227,8000000.0,21028755.0,13028755.0,44000.0,6.9,0,salmon colored
228,3500000.0,20659423.0,17159423.0,8200.0,7.3,0,salmon colored
229,12000000.0,22265763.0,10265763.0,78000.0,8.0,0,salmon colored
230,18000000.0,7000000.0,-11000000.0,20000.0,6.2,0,salmon colored
231,6000000.0,6795771.0,795771.0,59000.0,8.1,0,salmon colored
232,2300000.0,36690067.0,34390067.0,49000.0,5.7,0,salmon colored
233,18000000.0,46708276.0,28708276.0,26000.0,6.0,0,salmon colored
234,2500000.0,14400000.0,11900000.0,45000.0,5.0,0,salmon colored
235,15000000.0,41630431.0,26630431.0,63000.0,7.2,0,salmon colored
236,16000000.0,53993738.0,37993738.0,37000.0,7.7,0,salmon colored
237,300000.0,2032311.0,1732311.0,9300.0,6.1,0,salmon colored
238,20500000.0,16897768.0,-3602232.0,6500.0,4.9,0,salmon colored
239,20500000.0,20225989.0,-274011.0,2800.0,5.9,0,salmon colored
240,17000000.0,29712172.0,12712172.0,25000.0,7.2,0,salmon colored
241,5000000.0,14099953.0,9099953.0,19000.0,7.1,0,salmon colored
242,35000000.0,69701637.0,34701637.0,10000.0,6.0,0,salmon colored
243,13000000.0,10278575.0,-2721425.0,20000.0,7.1,0,salmon colored
244,20500000.0,21095638.0,595638.0,15000.0,6.6,0,salmon colored
245,20500000.0,4968000.0,-15532000.0,3900.0,5.7,0,salmon colored
246,20500000.0,28229046.0,7729046.0,20000.0,7.6,0,salmon colored
247,3500000.0,6455330.0,2955330.0,25000.0,7.4,0,salmon colored
248,9000000.0,13277558.0,4277558.0,15000.0,6.7,0,salmon colored
249,15000000.0,27150534.0,12150534.0,50000.0,6.2,0,salmon colored
250,17000000.0,47118057.0,30118057.0,11000.0,5.8,0,salmon colored
251,425000.0,10604986.0,10179986.0,7800.0,6.0,0,salmon colored
252,10000000.0,6110670.0,-3889330.0,15000.0,7.1,0,salmon colored
253,20500000.0,39103425.0,18603425.0,5700.0,5.6,0,salmon colored
254,2000000.0,16100000.0,14100000.0,15000.0,6.0,0,salmon colored
255,4500000.0,10490791.0,5990791.0,5300.0,5.5,0,salmon colored
256,20000000.0,5675599.0,-14324401.0,3400.0,3.7,0,salmon colored
